Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
73.5,-21.5518012788897,62.6032477992866,-2.57003226355587,0.0132026518201341,-0.00887371799553107,-0.0492208968328554,2
73.505,-21.5603234856235,62.598015974329,-2.57003226355587,0.0131579061676026,-0.00902524518714135,-0.0492192686243559,2
73.51,-21.5688456887223,62.5927841434503,-2.57087747521845,0.0131123923743195,-0.00918098654662851,-0.0492176404158564,2
73.515,-21.5773723009095,62.5875595013947,-2.57087747521845,0.0130661123252593,-0.00933173280267071,-0.0492104130385615,2
73.52,-21.5858988969835,62.5823348330425,-2.57172263090728,0.0130190680766515,-0.00948667855360836,-0.0492031856612665,2
73.525,-21.5944298833511,62.5771173363635,-2.57172263090728,0.0129712615687523,-0.00963662178410971,-0.049190363708377,2
73.53,-21.6029608411718,62.5718997930084,-2.57256753813707,0.0129226949144896,-0.00979074922270454,-0.0491775417554874,2
73.535,-21.6114961695657,62.5666894025041,-2.57256753813707,0.0128733701103051,-0.00993986697872173,-0.0491591303451094,2
73.54,-21.6200314570241,62.5614789449424,-2.57341200458092,0.0128232893267307,-0.0100931530363183,-0.0491407189347314,2
73.545,-21.6285710944171,62.5562756197368,-2.57341200458092,0.0127724546163653,-0.0102414228838588,-0.049116723942668,2
73.55,-21.6371106785326,62.5510722070939,-2.57425583808877,0.0127208682072969,-0.0103938445073001,-0.0490927289506046,2
73.555,-21.6456545910338,62.545875904642,-2.57425583808877,0.0126685322079923,-0.0105412441321782,-0.0490631570729868,2
73.56,-21.6541984379635,62.5406794943772,-2.57509884671382,0.0126154489037802,-0.010692778390486,-0.049033585195369,2
73.565,-21.6627465908274,62.5354901704701,-2.57509884671382,0.0125616204586331,-0.0108392856273094,-0.0489984439633024,2
